fonte;http://geogeral.com/h/b7/cidbollp.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-lapaz2.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
Achacachi; [La Paz] - Bolívia; Pop.: 11.431;
Achiri; [La Paz] - Bolívia; Pop.: 871;
Achocalla; [La Paz] - Bolívia; Pop.: 13.973;
Ajaria Grande; [La Paz] - Bolívia; Pop.: 724;
Alcoche; [La Paz] - Bolívia; Pop.: 1.074;
Amachuma; [La Paz] - Bolívia; Pop.: 1.070;
Amarete; [La Paz] - Bolívia; Pop.: 2.346;
Anchallani; [La Paz] - Bolívia; Pop.: 866;
Ancoraimes; [La Paz] - Bolívia; Pop.: 706;
Anquioma; [La Paz] - Bolívia; Pop.: 846;
Apolo; [La Paz] - Bolívia; Pop.: 2.861;
Apuraya Baja; [La Paz] - Bolívia; Pop.: 930;
Arapata; [La Paz] - Bolívia; Pop.: 2.098;
Ayamaya; [La Paz] - Bolívia; Pop.: 1.025;
Ayata Ajllata; [La Paz] - Bolívia; Pop.: 613;
Ayo Ayo; [La Paz] - Bolívia; Pop.: 872;
Ayzacollo; [La Paz] - Bolívia; Pop.: 606;
Azafranal; [La Paz] - Bolívia; Pop.: 767;
Bajo Milluni; [La Paz] - Bolívia; Pop.: 694;
Batallas; [La Paz] - Bolívia; Pop.: 2.649;
Belén; [La Paz] - Bolívia; Pop.: 701;
Bolsa Negra; [La Paz] - Bolívia; Pop.: 652;
Boopi; [La Paz] - Bolívia; Pop.: 614;
Cachapaya; [La Paz] - Bolívia; Pop.: 666;
Cachilipe; [La Paz] - Bolívia; Pop.: 686;
Cairoma; [La Paz] - Bolívia; Pop.: 1.315;
Cajuata; [La Paz] - Bolívia; Pop.: 1.179;
Cala Cala; [La Paz] - Bolívia; Pop.: 2.261;
Calamarca; [La Paz] - Bolívia; Pop.: 1.269;
Caluyo; [La Paz] - Bolívia; Pop.: 768;
Camata Sur; [La Paz] - Bolívia; Pop.: 620;
Cañamina; [La Paz] - Bolívia; Pop.: 631;
Cañaviri; [La Paz] - Bolívia; Pop.: 1.082;
Candelaria; [La Paz] - Bolívia; Pop.: 621;
Cangalli; [La Paz] - Bolívia; Pop.: 701;
Cañuma; [La Paz] - Bolívia; Pop.: 726;
Capacasi; [La Paz] - Bolívia; Pop.: 881;
Caranavi; [La Paz] - Bolívia; Pop.: 22.963;
Carura; [La Paz] - Bolívia; Pop.: 1.259;
Catacora; [La Paz] - Bolívia; Pop.: 713;
Catavi; [La Paz] - Bolívia; Pop.: 888;
Central Jalsuri; [La Paz] - Bolívia; Pop.: 627;
Chacahuaya; [La Paz] - Bolívia; Pop.: 671;
Chacoma; [La Paz] - Bolívia; Pop.: 771;
Chacoma Irpa Grande; [La Paz] - Bolívia; Pop.: 637;
Chaguaya; [La Paz] - Bolívia; Pop.: 935;
Chahuira Pampa; [La Paz] - Bolívia; Pop.: 712;
Chajlaya; [La Paz] - Bolívia; Pop.: 893;
Charaña; [La Paz] - Bolívia; Pop.: 1.101;
Charazani; [La Paz] - Bolívia; Pop.: 675;
Charopampa; [La Paz] - Bolívia; Pop.: 775;
Chicaloma; [La Paz] - Bolívia; Pop.: 854;
Chijipina Chico; [La Paz] - Bolívia; Pop.: 911;
Chilaya Grande; [La Paz] - Bolívia; Pop.: 678;
Chima; [La Paz] - Bolívia; Pop.: 2.180;
Chimasi; [La Paz] - Bolívia; Pop.: 703;
Chocorosi; [La Paz] - Bolívia; Pop.: 1.075;
Chojña Collo; [La Paz] - Bolívia; Pop.: 825;
Chonchocoro; [La Paz] - Bolívia; Pop.: 629;
Choquetanga; [La Paz] - Bolívia; Pop.: 635;
Chua Cocani; [La Paz] - Bolívia; Pop.: 1.145;
Chuani; [La Paz] - Bolívia; Pop.: 725;
Chucamarca; [La Paz] - Bolívia; Pop.: 1.081;
Chullina; [La Paz] - Bolívia; Pop.: 716;
Chulumani; [La Paz] - Bolívia; Pop.: 3.725;
Chuñu Chuñuni; [La Paz] - Bolívia; Pop.: 725;
Circuata; [La Paz] - Bolívia; Pop.: 1.114;
Coacollo; [La Paz] - Bolívia; Pop.: 803;
Cohana Grande; [La Paz] - Bolívia; Pop.: 612;
Cohoni; [La Paz] - Bolívia; Pop.: 1.416;
Collana; [La Paz] - Bolívia; Pop.: 2.501;
Collpani; [La Paz] - Bolívia; Pop.: 799;
Colpapucho Belen Alto; [La Paz] - Bolívia; Pop.: 631;
Colquencha; [La Paz] - Bolívia; Pop.: 3.169;
Colquiri (Camp Minero Colquiri); [La Paz] - Bolívia; Pop.: 4.045;
Comunidad Cala Cala; [La Paz] - Bolívia; Pop.: 1.104;
Comunidad Caluyo; [La Paz] - Bolívia; Pop.: 629;
Comunidad Catacora; [La Paz] - Bolívia; Pop.: 695;
Comunidad Catavi; [La Paz] - Bolívia; Pop.: 721;
Comunidad Huayhuasi; [La Paz] - Bolívia; Pop.: 786;
Comunidad Karhuisa; [La Paz] - Bolívia; Pop.: 1.008;
Comunidad Machacamarca Batallas; [La Paz] - Bolívia; Pop.: 738;
Comunidad Pampajasi; [La Paz] - Bolívia; Pop.: 624;
Consata; [La Paz] - Bolívia; Pop.: 728;
Cooco; [La Paz] - Bolívia; Pop.: 635;
Cooperativa Minera Sorata Ltda.; [La Paz] - Bolívia; Pop.: 716;
Copacabana; [La Paz] - Bolívia; Pop.: 5.624;
Coripata; [La Paz] - Bolívia; Pop.: 2.286;
Coro Coro; [La Paz] - Bolívia; Pop.: 2.539;
Coroico; [La Paz] - Bolívia; Pop.: 2.961;
Corpa Chilaya; [La Paz] - Bolívia; Pop.: 620;
Cota Cota Baja; [La Paz] - Bolívia; Pop.: 624;
Cotapata; [La Paz] - Bolívia; Pop.: 616;
Covendo; [La Paz] - Bolívia; Pop.: 697;
Cucuta; [La Paz] - Bolívia; Pop.: 651;
Curva; [La Paz] - Bolívia; Pop.: 705;
Cusijata; [La Paz] - Bolívia; Pop.: 683;
