fonte;http://geogeral.com/h/b7/cidbolsc.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-scruz.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
18 de Junio; [Santa Cruz] - Bolívia; Pop.: 1.031;
2 de Agosto; [Santa Cruz] - Bolívia; Pop.: 888;
26 de Agosto; [Santa Cruz] - Bolívia; Pop.: 1.472;
Abapó; [Santa Cruz] - Bolívia; Pop.: 3.491;
Achiras; [Santa Cruz] - Bolívia; Pop.: 735;
Aguahi; [Santa Cruz] - Bolívia; Pop.: 1.053;
Aguas Calientes; [Santa Cruz] - Bolívia; Pop.: 732;
Agustín Saavedra (General Saavedra); [Santa Cruz] - Bolívia; Pop.: 4.691;
Altamira; [Santa Cruz] - Bolívia; Pop.: 756;
Arboleda; [Santa Cruz] - Bolívia; Pop.: 1.171;
Arroyito; [Santa Cruz] - Bolívia; Pop.: 2.049;
Arroyo Concepción; [Santa Cruz] - Bolívia; Pop.: 5.626;
Ascención; [Santa Cruz] - Bolívia; Pop.: 1.687;
Ascencion de Guarayos; [Santa Cruz] - Bolívia; Pop.: 20.921;
Ascensión (Ascensión de Guarayos); [Santa Cruz] - Bolívia; Pop.: 19.561;
Azubi; [Santa Cruz] - Bolívia; Pop.: 1.058;
Azusaqui; [Santa Cruz] - Bolívia; Pop.: 858;
Barrientos; [Santa Cruz] - Bolívia; Pop.: 1.092;
Basilio; [Santa Cruz] - Bolívia; Pop.: 1.085;
Batavia; [Santa Cruz] - Bolívia; Pop.: 831;
Bermejo; [Santa Cruz] - Bolívia; Pop.: 935;
Boyuibe; [Santa Cruz] - Bolívia; Pop.: 3.380;
Buen Retiro; [Santa Cruz] - Bolívia; Pop.: 2.633;
Buena Vista; [Santa Cruz] - Bolívia; Pop.: 5.244;
Cabezas; [Santa Cruz] - Bolívia; Pop.: 2.191;
Cachuela España; [Santa Cruz] - Bolívia; Pop.: 734;
Callejas; [Santa Cruz] - Bolívia; Pop.: 1.127;
Camiri; [Santa Cruz] - Bolívia; Pop.: 37.211;
Campamento; [Santa Cruz] - Bolívia; Pop.: 1.001;
Campanero; [Santa Cruz] - Bolívia; Pop.: 3.482;
Campo (Campos) 10; [Santa Cruz] - Bolívia; Pop.: 718;
Campo (Campos) 3; [Santa Cruz] - Bolívia; Pop.: 795;
Cañada Larga; [Santa Cruz] - Bolívia; Pop.: 1.414;
Canandoa; [Santa Cruz] - Bolívia; Pop.: 1.177;
Capitania Kaaguazu; [Santa Cruz] - Bolívia; Pop.: 743;
Caranda; [Santa Cruz] - Bolívia; Pop.: 1.369;
Chane Bedoya; [Santa Cruz] - Bolívia; Pop.: 833;
Chane Independencia; [Santa Cruz] - Bolívia; Pop.: 3.921;
Chane Justiniano; [Santa Cruz] - Bolívia; Pop.: 1.376;
Chane Magallanes; [Santa Cruz] - Bolívia; Pop.: 1.286;
Charagua; [Santa Cruz] - Bolívia; Pop.: 3.523;
Charagua (La Estacion); [Santa Cruz] - Bolívia; Pop.: 2.319;
Chilón; [Santa Cruz] - Bolívia; Pop.: 1.061;
Chochis; [Santa Cruz] - Bolívia; Pop.: 1.727;
Choreti; [Santa Cruz] - Bolívia; Pop.: 1.691;
Clara Chuchio; [Santa Cruz] - Bolívia; Pop.: 1.675;
